"public_food_id_compound_id_name","compound_SMILES"
"FOOD00006 _ FDB012397 _ L-Isoleucine","CCC(C)C(N)C(O)=O"
"FOOD00006 _ FDB012528 _ D-Fructose","OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O"
"FOOD00006 _ FDB012563 _ L-Cystine","NC(CSSCC(N)C(O)=O)C(O)=O"
"FOOD00006 _ FDB012567 _ L-Aspartic acid","N[C@@H](CC(O)=O)C(O)=O"
"FOOD00006 _ FDB012683 _ L-Methionine","CSCC[C@H](N)C(O)=O"
"FOOD00006 _ FDB012739 _ L-Serine","NC(CO)C(O)=O"
"FOOD00006 _ FDB012858 _ Oleic acid","CCCCCCCC\C=C\CCCCCCCC(O)=O"
"FOOD00006 _ FDB013400 _ Selenium","[Se]"
"FOOD00006 _ FDB013444 _ Nickel","[Ni]"
"FOOD00006 _ FDB013879 _ Phloroglucinol","OC1=CC(O)=CC(O)=C1"
"FOOD00006 _ FDB014613 _ beta-Carotene","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C"
"FOOD00006 _ FDB016251 _ Iron","[Fe]"
"FOOD00006 _ FDB017095 _ Quercetin 4'-glucoside","OC[C@H]1O[C@@H](OC2=CC=C(C=C2O)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O)[C@H](O)[C@@H](O)[C@@H]1O"
"FOOD00009 _ FDB000446 _ L-Tyrosine","NC(CC1=CC=C(O)C=C1)C(O)=O"
"FOOD00009 _ FDB000484 _ Glycine","NCC(O)=O"
"FOOD00009 _ FDB000556 _ L-Alanine","C[C@H](N)C(O)=O"
"FOOD00009 _ FDB000574 _ Pyridoxine","CC1=C(O)C(CO)=C(CO)C=N1"
"FOOD00009 _ FDB000633 _ Kaempferol","OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O"
"FOOD00009 _ FDB001014 _ Nicotinic acid","OC(=O)C1=CN=CC=C1"
"FOOD00009 _ FDB001224 _ L-Ascorbic acid","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"FOOD00009 _ FDB001946 _ L-Leucine","CC(C)CC(N)C(O)=O"
"FOOD00009 _ FDB002250 _ L-Tryptophan","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O"
"FOOD00009 _ FDB002257 _ Arginine","N[C@@H](CCCNC(N)=N)C(O)=O"
"FOOD00009 _ FDB002593 _ p-Coumaric acid","OC(=O)\C=C\C1=CC=C(O)C=C1"
"FOOD00009 _ FDB003513 _ Calcium","[Ca++]"
"FOOD00009 _ FDB003520 _ Phosphorus","P"
"FOOD00009 _ FDB003521 _ Potassium","[K+]"
"FOOD00009 _ FDB003523 _ Sodium","[Na]"
"FOOD00009 _ FDB008322 _ Pantothenic acid","CC(C)(CO)C(O)C(=O)NCCC(O)=O"
"FOOD00009 _ FDB011856 _ L-Histidine","NC(CC1=CN=CN1)C(O)=O"
"FOOD00009 _ FDB011904 _ Quercetin","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1"
"FOOD00009 _ FDB011999 _ L-Threonine","C[C@@H](O)[C@H](N)C(O)=O"
"FOOD00009 _ FDB012160 _ Riboflavine","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1"
"FOOD00009 _ FDB012397 _ L-Isoleucine","CCC(C)C(N)C(O)=O"
"FOOD00009 _ FDB012462 _ alpha-Linolenic acid","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O"
"FOOD00009 _ FDB012535 _ L-Glutamic acid","N[C@@H](CCC(O)=O)C(O)=O"
"FOOD00009 _ FDB012567 _ L-Aspartic acid","N[C@@H](CC(O)=O)C(O)=O"
"FOOD00009 _ FDB012683 _ L-Methionine","CSCC[C@H](N)C(O)=O"
"FOOD00009 _ FDB012739 _ L-Serine","NC(CO)C(O)=O"
"FOOD00009 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid","[H]\C(CCCCC)=C(/[H])C\C([H])=C(/[H])CCCCCCCC(O)=O"
"FOOD00009 _ FDB012858 _ Oleic acid","CCCCCCCC\C=C\CCCCCCCC(O)=O"
"FOOD00009 _ FDB014613 _ beta-Carotene","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C"
"FOOD00009 _ FDB016251 _ Iron","[Fe]"
"FOOD00011 _ FDB000446 _ L-Tyrosine","NC(CC1=CC=C(O)C=C1)C(O)=O"
"FOOD00011 _ FDB000474 _ L-Lysine","NCCCC[C@H](N)C(O)=O"
"FOOD00011 _ FDB000484 _ Glycine","NCC(O)=O"
"FOOD00011 _ FDB000556 _ L-Alanine","C[C@H](N)C(O)=O"
"FOOD00011 _ FDB000574 _ Pyridoxine","CC1=C(O)C(CO)=C(CO)C=N1"
"FOOD00011 _ FDB001014 _ Nicotinic acid","OC(=O)C1=CN=CC=C1"
"FOOD00011 _ FDB001111 _ Chinese tannin","OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1"
"FOOD00011 _ FDB001224 _ L-Ascorbic acid","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO"
"FOOD00011 _ FDB001946 _ L-Leucine","CC(C)CC(N)C(O)=O"
"FOOD00011 _ FDB002250 _ L-Tryptophan","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O"
"FOOD00011 _ FDB002257 _ Arginine","N[C@@H](CCCNC(N)=N)C(O)=O"
"FOOD00011 _ FDB003010 _ Dodecanoic acid","CCCCCCCCCCCC(O)=O"
"FOOD00011 _ FDB003336 _ Octanoic acid","CCCCCCCC(O)=O"
"FOOD00011 _ FDB003513 _ Calcium","[Ca++]"
"FOOD00011 _ FDB003516 _ Chromium","[Cr]"
"FOOD00011 _ FDB003520 _ Phosphorus","P"
"FOOD00011 _ FDB003521 _ Potassium","[K+]"
"FOOD00011 _ FDB003523 _ Sodium","[Na]"
"FOOD00011 _ FDB003570 _ Aluminum","[AlH3]"
"FOOD00011 _ FDB003575 _ Boron","B"
"FOOD00011 _ FDB003581 _ Cobalt","[Co]"
"FOOD00011 _ FDB003582 _ Copper","[Cu]"
"FOOD00011 _ FDB003635 _ Iodine","II"
"FOOD00011 _ FDB003636 _ Manganese","[Mn]"
"FOOD00011 _ FDB003653 _ Molybdenum","[Mo]"
"FOOD00011 _ FDB003713 _ Silicon","[SiH4]"
"FOOD00011 _ FDB003717 _ Sulfur","[S]"
"FOOD00011 _ FDB003722 _ Tin","[SnH4]"
"FOOD00011 _ FDB003729 _ Zinc","[Zn]"
"FOOD00011 _ FDB003763 _ Arsenic","[AsH3]"
"FOOD00011 _ FDB003766 _ Cadmium","[Cd]"
"FOOD00011 _ FDB003777 _ Lead","[Pb++]"
"FOOD00011 _ FDB003780 _ Mercury","[Hg]"
"FOOD00011 _ FDB003792 _ Vanadium","[V]"
"FOOD00011 _ FDB008322 _ Pantothenic acid","CC(C)(CO)C(O)C(=O)NCCC(O)=O"
